sep=	
Gene-ID	A1_2_cell_0	A1_2_cell_1	A1_2_cell_2	A1_2_cell_3	A1_2_cell_4	A1_2_cell_5	A1_2_cell_6	A1_2_cell_7	A1_2_cell_8	A1_2_cell_9	A1_2_cell_10	A1_2_cell_11	A1_2_cell_12	A1_2_cell_13	A1_2_cell_14	A1_2_cell_15	A1_2_cell_16	A1_2_cell_17	A1_2_cell_18	A1_2_cell_19	A1_2_cell_20	A1_2_cell_21	A1_2_cell_22	A1_2_cell_23	A1_2_cell_24	A1_2_cell_25	A1_2_cell_26	A1_2_cell_27	A1_2_cell_28	A1_2_cell_29	A1_2_cell_30	A1_2_cell_31	A1_2_cell_32	A1_2_cell_33	A1_2_cell_34	A1_2_cell_35	A1_2_cell_36	A1_2_cell_37	A1_2_cell_38	A1_2_cell_39	A1_2_cell_40	A1_2_cell_41	A1_2_cell_42	A1_2_cell_43	A1_2_cell_44	A1_2_cell_45	A1_2_cell_46	A1_2_cell_47	A1_2_cell_48	A1_2_cell_49	A1_2_cell_50	A1_2_cell_51	A1_2_cell_52	A1_2_cell_53	A1_2_cell_54	A1_2_cell_55	A1_2_cell_56	A1_2_cell_57	A1_2_cell_58	A1_2_cell_59	A1_2_cell_60	A1_2_cell_61	A1_2_cell_62	A1_2_cell_63	A1_2_cell_64	A1_2_cell_65	A1_2_cell_66	A1_2_cell_67	A1_2_cell_68	A1_2_cell_69	A1_2_cell_70	A1_2_cell_71	A1_2_cell_72	A1_2_cell_73	A1_2_cell_74	A1_2_cell_75	A1_2_cell_76	A1_2_cell_77	A1_2_cell_78	A1_2_cell_79	A1_2_cell_80	A1_2_cell_81	A1_2_cell_82	A1_2_cell_83	A1_2_cell_84	A1_2_cell_85	A1_2_cell_86	A1_2_cell_87	A1_2_cell_88	A1_2_cell_89	A1_2_cell_90	A1_2_cell_91	A1_2_cell_92	A1_2_cell_93	A1_2_cell_94	A1_2_cell_95	A1_2_cell_96	A1_2_cell_97	A1_2_cell_98	A1_2_cell_99	A1_2_cell_100	A1_2_cell_101	A1_2_cell_102	A1_2_cell_103	A1_2_cell_104	A1_2_cell_105	A1_2_cell_106	A1_2_cell_107	A1_2_cell_108	A1_2_cell_109	A1_2_cell_110	A1_2_cell_111	A1_2_cell_112	A1_2_cell_113	A1_2_cell_114	A1_2_cell_115	A1_2_cell_116	A1_2_cell_117	A1_2_cell_118	A1_2_cell_119	A1_2_cell_120	A1_2_cell_121	A1_2_cell_122	A1_2_cell_123	A1_2_cell_124	A1_2_cell_125	A1_2_cell_126	A1_2_cell_127	A1_2_cell_128	A1_2_cell_129	A1_2_cell_130	A1_2_cell_131	A1_2_cell_132	A1_2_cell_133	A1_2_cell_134	A1_2_cell_135	A1_2_cell_136	A1_2_cell_137	A1_2_cell_138	A1_2_cell_139	A1_2_cell_140	A1_2_cell_141	A1_2_cell_142	A1_2_cell_143	A1_2_cell_144	A1_2_cell_145	A1_2_cell_146	A1_2_cell_147	A1_2_cell_148	A1_2_cell_149	A1_2_cell_150	A1_2_cell_151	A1_2_cell_152	A1_2_cell_153	A1_2_cell_154	A1_2_cell_155	A1_2_cell_156	A1_2_cell_157	A1_2_cell_158	A1_2_cell_159	A1_2_cell_160	A1_2_cell_161	A1_2_cell_162	A1_2_cell_163	A1_2_cell_164	A1_2_cell_165	A1_2_cell_166	A1_2_cell_167	A1_2_cell_168	A1_2_cell_169	A1_2_cell_170	A1_2_cell_171	A1_2_cell_172	A1_2_cell_173	A1_2_cell_174	A1_2_cell_175	A1_2_cell_176	A1_2_cell_177	A1_2_cell_178	A1_2_cell_179	A1_2_cell_180	A1_2_cell_181	A1_2_cell_182	A1_2_cell_183	A1_2_cell_184	A1_2_cell_185	A1_2_cell_186	A1_2_cell_187	A1_2_cell_188	A1_2_cell_189	A1_2_cell_190	A1_2_cell_191	A1_2_cell_192	A1_2_cell_193	A1_2_cell_194	A1_2_cell_195	A1_2_cell_196	A1_2_cell_197	A1_2_cell_198	A1_2_cell_199	A1_2_cell_200	A1_2_cell_201	A1_2_cell_202	A1_2_cell_203	A1_2_cell_204	A1_2_cell_205	A1_2_cell_206	A1_2_cell_207	A1_2_cell_208	A1_2_cell_209	A1_2_cell_210	A1_2_cell_211	A1_2_cell_212	A1_2_cell_213	A1_2_cell_214	A1_2_cell_215	A1_2_cell_216	A1_2_cell_217	A1_2_cell_218	A1_2_cell_219	A1_2_cell_220	A1_2_cell_221	A1_2_cell_222	A1_2_cell_223	A1_2_cell_224	A1_2_cell_225	A1_2_cell_226	A1_2_cell_227	A1_2_cell_228	A1_2_cell_229	A1_2_cell_230	A1_2_cell_231	A1_2_cell_232	A1_2_cell_233	A1_2_cell_234	A1_2_cell_235	A1_2_cell_236	A1_2_cell_237	A1_2_cell_238	A1_2_cell_239	A1_2_cell_240	A1_2_cell_241	A1_2_cell_242	A1_2_cell_243	A1_2_cell_244	A1_2_cell_245	A1_2_cell_246	A1_2_cell_247	A1_2_cell_248	A1_2_cell_249	A1_2_cell_250	A1_2_cell_251	A1_2_cell_252	A1_2_cell_253	A1_2_cell_254	A1_2_cell_255	A1_2_cell_256	A1_2_cell_257	A1_2_cell_258	A1_2_cell_259	A1_2_cell_260	A1_2_cell_261	A1_2_cell_262	A1_2_cell_263	A1_2_cell_264	A1_2_cell_265	A1_2_cell_266	A1_2_cell_267	A1_2_cell_268	A1_2_cell_269	A1_2_cell_270	A1_2_cell_271	A1_2_cell_272	A1_2_cell_273	A1_2_cell_274	A1_2_cell_275	A1_2_cell_276	A1_2_cell_277	A1_2_cell_278	A1_2_cell_279	A1_2_cell_280	A1_2_cell_281	A1_2_cell_282	A1_2_cell_283	A1_2_cell_284	A1_2_cell_285	A1_2_cell_286	A1_2_cell_287	A1_2_cell_288	A1_2_cell_289	A1_2_cell_290	A1_2_cell_291	A1_2_cell_292	A1_2_cell_293	A1_2_cell_294	A1_2_cell_295	A1_2_cell_296	A1_2_cell_297	A1_2_cell_298	A1_2_cell_299	A1_2_cell_300	A1_2_cell_301	A1_2_cell_302	A1_2_cell_303	A1_2_cell_304	A1_2_cell_305	A1_2_cell_306	A1_2_cell_307	A1_2_cell_308	A1_2_cell_309	A1_2_cell_310	A1_2_cell_311	A1_2_cell_312	A1_2_cell_313	A1_2_cell_314	A1_2_cell_315	A1_2_cell_316	A1_2_cell_317	A1_2_cell_318	A1_2_cell_319	A1_2_cell_320	A1_2_cell_321	A1_2_cell_322	A1_2_cell_323	A1_2_cell_324	A1_2_cell_325	A1_2_cell_326	A1_2_cell_327	A1_2_cell_328	A1_2_cell_329	A1_2_cell_330	A1_2_cell_331	A1_2_cell_332	A1_2_cell_333	A1_2_cell_334	A1_2_cell_335	A1_2_cell_336	A1_2_cell_337	A1_2_cell_338	A1_2_cell_339	A1_2_cell_340	A1_2_cell_341	A1_2_cell_342	A1_2_cell_343	A1_2_cell_344	A1_2_cell_345	A1_2_cell_346	A1_2_cell_347	A1_2_cell_348	A1_2_cell_349	A1_2_cell_350	A1_2_cell_351	A1_2_cell_352	A1_2_cell_353	A1_2_cell_354	A1_2_cell_355	A1_2_cell_356	A1_2_cell_357	A1_2_cell_358	A1_2_cell_359	A1_2_cell_360	A1_2_cell_361	A1_2_cell_362	A1_2_cell_363	A1_2_cell_364	A1_2_cell_365	A1_2_cell_366	A1_2_cell_367	A1_2_cell_368	A1_2_cell_369	A1_2_cell_370	A1_2_cell_371	A1_2_cell_372	A1_2_cell_373	A1_2_cell_374	A1_2_cell_375	A1_2_cell_376	A1_2_cell_377	A1_2_cell_378	A1_2_cell_379	A1_2_cell_380	A1_2_cell_381	A1_2_cell_382	A1_2_cell_383	
ano1_L	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ctcf_S	477	1	5	0	2	0	0	0	3	3	1	1	2	5	1	2	2	1	4	0	0	3	2	0	1	0	0	0	1	1	1	0	0	1	0	0	2	0	0	0	1	1	0	0	0	2	1	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	1	0	0	0	5	0	1	4	1	0	2	2	3	1	0	2	5	10	8	1	1	1	3	1	8	5	0	3	2	3	9	3	1	10	0	7	4	5	6	4	0	6	0	1	3	2	0	8	2	1	0	0	1	0	0	0	0	0	0	1	0	8	4	1	3	2	1	0	0	0	0	0	5	0	2	0	4	2	1	0	1	0	1	0	0	0	0	5	1	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	1	0	6	1	1	2	1	0	0	0	0	4	0	2	2	0	1	1	7	1	1	0	3	0	1	0	0	2	1	1	1	0	0	2	0	1	1	0	1	1	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	2	1	5	0	0	0	0	7	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	4	3	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
e2f4_L	71	0	0	1	1	2	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	2	0	0	0	2	0	1	2	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
esrra_L	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
foxa1_L	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
foxj1_L	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
foxn4_L	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gata2_L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gata3_L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
has1_S	2089	2	11	3	7	2	0	10	14	6	5	2	5	8	2	3	9	0	4	4	4	5	12	1	5	0	0	0	0	1	1	2	3	3	4	4	5	1	0	1	3	4	0	1	3	1	0	0	0	0	0	0	1	0	0	1	0	6	0	0	2	3	0	0	9	1	5	6	0	9	2	2	6	4	8	2	8	14	24	16	2	22	42	22	13	5	12	9	10	29	18	0	24	21	11	34	6	17	44	12	27	16	9	28	16	13	19	1	5	12	2	2	25	3	3	0	4	6	3	4	13	1	3	0	0	2	26	16	2	19	5	3	1	0	2	3	2	7	6	6	0	3	8	3	0	1	1	0	5	2	6	6	6	1	2	0	0	0	6	11	4	2	1	2	3	8	1	1	2	9	4	0	0	0	1	0	1	7	5	2	2	0	2	4	3	2	7	1	8	9	2	2	1	2	3	2	9	1	0	4	2	2	1	2	3	4	7	1	4	2	2	8	1	6	0	16	0	2	2	4	1	5	5	4	3	4	6	0	1	2	0	2	3	3	4	2	2	1	11	1	0	1	0	2	2	1	0	1	0	0	1	0	2	4	0	1	1	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	1	6	2	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	5	4	3	9	1	5	9	5	1	2	1	4	35	7	2	3	3	14	7	2	4	5	3	1	0	3	8	4	2	6	19	1	9	1	1	0	9	2	0	0	4	3	5	1	3	0	12	4	0	1	11	1	0	3	1	3	6	3	3	0	0	1	0	2	1	24	0	0	5	1	5	3	0	17	0	1	0	3	0	0	0	0	0	0	0	0	2	
